listing_type,title,price,bedrooms,bathrooms,floor_size_m2,address,suburb,area,listing_url,agent_name,agent_contact,description,listed_date,image_url,estimated_monthly_rent,estimated_annual_rent,estimated_gross_yield,yield_above_threshold,distressed_flags,real_monthly_rent,real_annual_rent,rent_source,monthly_rates,monthly_insurance,monthly_maintenance,monthly_management,monthly_levy,noi,cap_rate,real_gross_yield,grm,rent_to_price_pct,oer,transfer_duty,refurb_estimate,all_in_cost,bond_amount,monthly_bond,monthly_cash_flow,annual_cash_flow,cash_on_cash_pre_refi,dscr,ber,income_implied_value,value_gap_pct,price_per_m2,suburb_median_price_per_m2,price_per_m2_vs_median,revalued_price,new_bond,equity_extracted,cash_left_in_deal,post_refi_monthly_cash_flow,equity_multiple_5yr,value_yr3,value_yr5,value_yr10,capital_gain_yr5,bond_balance_yr5,equity_yr5,equity_growth_yr5,total_cf_5yr,total_return_yr5,roe_yr5,annualised_return_yr5,yield_on_cost,rental_supply_count,sale_supply_count,rental_to_sale_ratio,rent_spread,price_dispersion,catalyst_score,suburb_quality_score,safety_score,capital_appreciation_score,distressed_bonus,cap_rate_score,coc_score,dscr_score,value_gap_score,affordability_score,brrrr_efficiency_score,rental_supply_score,composite_score,rank
sale,2 Bedroom Apartment,975000,2,1,61 m²,333 Main Road,Lemoenkloof,Paarl,https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/116508391,,,"Situated on the 11th floor, this spacious 2-bedroom, 2-bathroom apartment offers a prime ...",,https://images.prop24.com/233852929/Ensure264x153,9500,114000,11.69,True,,19750.0,237000.0,rental_suburb,313.0,609.0,1219.0,0.0,1200,177949.0,0.1825,24.31,4.11,2.03,0.1692,0.0,100000,316500.0,780000.0,8051.0,6778.0,81336.0,0.257,1.84,0.5768,1977212.0,102.79,15984.0,13320.0,20.0,1977212.0,1581769.0,801769.0,-485269.0,-1498.0,2.75,1161241.0,1304770.0,1746077.0,264531.0,708349.0,596421.0,401421.0,507841.0,772372.0,2.4404,0.2803,0.5622,1,5,0.4,0.0,0.5023,25.7,86.0,51.0,60.9,0,100,100,100,100,90.2,100,90,65.8,1
sale,1 Bedroom Apartment,760000,1,1,41 m²,88 Lustigan Road,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/116481312,,,Discover a prime investment opportunity in the heart of Paarl with this modern 1-bedroom ...,,https://images.prop24.com/341773167/Ensure264x153,7000,84000,11.05,True,,13250.0,159000.0,rental_suburb,205.0,475.0,950.0,0.0,1200,112318.0,0.1478,20.92,4.78,1.74,0.2136,0.0,80000,253500.0,608000.0,6276.0,3084.0,37009.0,0.146,1.49,0.6872,1247975.0,64.21,18537.0,8723.0,112.51,1247975.0,998380.0,390380.0,-136880.0,-945.0,1.71,905172.0,1017051.0,1361044.0,206199.0,552149.0,464903.0,312903.0,248411.0,454610.0,1.7933,0.2281,0.4431,2,72,0.07,0.19,0.4308,20.8,62.0,51.0,47.4,0,98.5,58.4,98.8,100,92.4,100,80,56.7,2
sale,1 Bedroom Apartment,830000,1,1,33 m²,1 Lustigan Road,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/116864529,,,"NEW DEVELOPMENT | PAARL SOUTH 
NO TRANSFER COSTS 
JUST LAUNCHED – Brand-New ...",,https://images.prop24.com/341773167/Ensure264x153,7000,84000,10.12,True,,13250.0,159000.0,rental_suburb,240.0,519.0,1038.0,0.0,1200,110322.0,0.1329,19.16,5.22,1.6,0.2261,0.0,100000,287500.0,664000.0,6854.0,2340.0,28078.0,0.0977,1.34,0.7434,1225804.0,47.69,25152.0,8723.0,188.34,1225804.0,980643.0,316643.0,-29143.0,-929.0,1.25,988543.0,1110727.0,1486404.0,225191.0,603005.0,507723.0,341723.0,202482.0,427672.0,1.4876,0.1999,0.3837,2,72,0.07,0.19,0.4308,20.8,62.0,51.0,47.4,0,88.6,39.1,77.3,100,91.7,100,80,54.6,3
sale,2 Bedroom Apartment,840000,2,1,43 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/116585087,,,"Exclusive Sole Mandate

Perfectly positioned in the sought-after area of Paarl South, this neat and functional 2-bedroom apartment ...",,https://images.prop24.com/320150639/Ensure264x153,9500,114000,13.57,True,mandate,11925.0,143100.0,rental_suburb,245.0,525.0,1050.0,0.0,1200,95409.0,0.1136,17.04,5.87,1.42,0.2533,0.0,100000,289500.0,672000.0,6936.0,1014.0,12174.0,0.0421,1.15,0.8349,1060103.0,26.2,19535.0,8723.0,123.95,1060103.0,848083.0,176083.0,113417.0,-803.0,0.73,1000453.0,1124109.0,1504312.0,227904.0,610270.0,513840.0,345840.0,114280.0,342184.0,1.182,0.1689,0.3296,2,72,0.07,0.35,0.4308,20.8,62.0,51.0,47.4,30,75.7,16.8,49.5,87.3,91.6,60.8,80,50.8,4
sale,3 Bedroom Apartment,1470000,3,2,80 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/114952114,,,"3 bedroom apartment with beautiful mountain views
Bergendal Country villas is a safe and secure complex with easy access to all the ...",,https://images.prop24.com/317418390/Ensure264x153,9500,114000,7.76,False,as-is,17000.0,204000.0,rental_suburb,561.0,919.0,1838.0,0.0,1200,133479.0,0.0908,13.88,7.21,1.16,0.2657,7800.0,50000,373300.0,1176000.0,12139.0,-1015.0,-12184.0,-0.0326,0.92,0.9797,1483098.0,0.89,18375.0,8723.0,110.65,1764000.0,1411200.0,235200.0,138100.0,-3443.0,0.39,1750794.0,1967192.0,2632546.0,398832.0,1067972.0,899220.0,605220.0,13610.0,412442.0,1.1049,0.1605,0.3576,1,72,0.07,0.0,0.4308,20.8,62.0,51.0,47.4,100,60.5,0.0,16.6,3.0,85.3,63.0,90,47.4,5
sale,3 Bedroom Townhouse,2650000,3,2,152 m²,5 Optenhorst Street,Lemoenkloof,Paarl,https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/116795233,,,"Situated in one of Paarl’s most sought-after neighbourhoods, Lemoenkloof, this ...",,https://images.prop24.com/233852929/Ensure264x153,9500,114000,4.3,False,,7000.0,84000.0,rental_area_q1,1151.0,1656.0,3312.0,0.0,1200,-10558.0,-0.004,3.17,31.55,0.26,1.0457,79200.0,50000,680700.0,2120000.0,21882.0,-22762.0,-273146.0,-0.4013,-0.04,4.1717,-117307.0,-104.43,17434.0,13320.0,30.89,3180000.0,2544000.0,424000.0,256700.0,-27139.0,-1.78,3156192.0,3546298.0,4745746.0,718983.0,1925255.0,1621042.0,1091042.0,-1376786.0,-657803.0,-0.9664,-0.4926,-0.0155,0,5,0.4,,0.5023,25.7,86.0,51.0,60.9,0,-2.7,0.0,0.0,0.0,73.5,62.3,100,45.4,6
sale,3 Bedroom House,2800000,3,1,252 m²,14 Swartvlei Street,Lemoenkloof,Paarl,https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/116984340?plId=2351989&plt=4,,,"Step into timeless charm with this character-filled semi-detached home, where classic features and inviting living spaces create a truly special atmosphere. Beautiful wooden floors ...",,https://images.prop24.com/233856395/Ensure528x153,9500,114000,4.07,False,,7000.0,84000.0,rental_area_q1,1226.0,1750.0,3500.0,0.0,1200,-14833.0,-0.0053,3.0,33.33,0.25,1.0966,91200.0,50000,722700.0,2240000.0,23121.0,-24357.0,-292286.0,-0.4044,-0.05,4.3996,-164816.0,-105.89,11111.0,13320.0,-16.58,3360000.0,2688000.0,448000.0,274700.0,-28981.0,-1.8,3334845.0,3747032.0,5014374.0,759680.0,2034232.0,1712799.0,1152799.0,-1475207.0,-715527.0,-0.9901,-0.6025,-0.0205,0,5,0.4,,0.5023,25.7,86.0,51.0,60.9,0,-3.5,0.0,0.0,0.0,72.0,62.0,100,45.3,7
sale,3 Bedroom House,2800000,3,1,252 m²,14 Swartvlei Street,Lemoenkloof,Paarl,https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/117003900?plId=2351989&plt=4,,,"Step into timeless charm with this character-filled semi-detached home, where classic features and inviting living spaces create a truly special atmosphere. Beautiful wooden floors ...",,https://images.prop24.com/233856395/Ensure528x153,9500,114000,4.07,False,,7000.0,84000.0,rental_area_q1,1226.0,1750.0,3500.0,0.0,1200,-14833.0,-0.0053,3.0,33.33,0.25,1.0966,91200.0,50000,722700.0,2240000.0,23121.0,-24357.0,-292286.0,-0.4044,-0.05,4.3996,-164816.0,-105.89,11111.0,13320.0,-16.58,3360000.0,2688000.0,448000.0,274700.0,-28981.0,-1.8,3334845.0,3747032.0,5014374.0,759680.0,2034232.0,1712799.0,1152799.0,-1475207.0,-715527.0,-0.9901,-0.6025,-0.0205,0,5,0.4,,0.5023,25.7,86.0,51.0,60.9,0,-3.5,0.0,0.0,0.0,72.0,62.0,100,45.3,8
sale,2 Bedroom Apartment,1300000,2,1,85 m²,Paarl Central,Paarl Central,Paarl,https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/117020071,,,"-SOLE MANDATE- Conveniently located close to Akademia, this property combines space, practicality, and lovely mountain views.

The ...",,https://images.prop24.com/41199432/Ensure264x153,9500,114000,8.77,True,mandate,11350.0,136200.0,rental_suburb,475.0,812.0,1625.0,0.0,1200,75949.0,0.0584,10.48,9.54,0.87,0.3624,2700.0,50000,334200.0,1040000.0,10735.0,-4406.0,-52868.0,-0.1582,0.59,1.3082,843875.0,-35.09,15294.0,13409.0,14.06,1560000.0,1248000.0,208000.0,126200.0,-6553.0,-0.35,1548321.0,1739693.0,2328102.0,352709.0,944465.0,795228.0,535228.0,-222973.0,129736.0,0.3882,0.0678,0.2273,4,14,0.36,0.47,0.5287,31.5,70.0,51.0,54.7,30,38.9,0.0,0.0,0.0,87.0,62.2,60,45.2,9
sale,1 Bedroom Apartment,780000,1,1,40 m²,Esterville,Esterville,Paarl,https://www.property24.com/for-sale/esterville/paarl/western-cape/16386/116950305,,,"Sole Mandate.
The apartment is an ideal choice for a student at Akademia Paarl campus. 
The central location provides easy access to ...",,https://images.prop24.com/310646377/Ensure264x153,7000,84000,10.77,True,mandate,7800.0,93600.0,rental_area_q1,215.0,488.0,975.0,0.0,1200,51580.0,0.0661,12.0,8.33,1.0,0.3689,0.0,80000,257500.0,624000.0,6441.0,-2143.0,-25711.0,-0.0998,0.67,1.1947,573107.0,-26.52,19500.0,10540.0,85.02,936000.0,748800.0,124800.0,132700.0,-3431.0,-0.14,928992.0,1043816.0,1396861.0,211625.0,566679.0,477137.0,321137.0,-100515.0,111111.0,0.4315,0.0744,0.2003,0,7,0.14,,0.5377,33.8,60.0,51.0,50.3,30,44.1,0.0,0.0,0.0,92.2,48.5,100,45.1,10
