listing_type,title,price,bedrooms,bathrooms,floor_size_m2,address,suburb,area,listing_url,agent_name,agent_contact,description,listed_date,image_url,estimated_monthly_rent,estimated_annual_rent,estimated_gross_yield,yield_above_threshold,distressed_flags
sale,Commercial Property inVal de Vie Estate,9130600,1,0,125 m²,Val de Vie Estate,Val de Vie Estate,Paarl,https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115948844?plId=2374772&plt=3&plsIds=2391295,,,Commercial Property inVal de Vie Estate,,https://images.prop24.com/331836732/Crop526x328,7000,84000,0.92,False,
sale,3 Bedroom House,2800000,3,1,252 m²,14 Swartvlei Street,Lemoenkloof,Paarl,https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/116984340?plId=2351989&plt=4,,,"Step into timeless charm with this character-filled semi-detached home, where classic features and inviting living spaces create a truly special atmosphere. Beautiful wooden floors ...",,https://images.prop24.com/233856395/Ensure528x153,9500,114000,4.07,False,
sale,3 Bedroom House,5250000,3,2,263 m²,117 Skool Straat,Paarl Valleij Lifestyle Estate,Paarl,https://www.property24.com/for-sale/paarl-valleij-lifestyle-estate/paarl/western-cape/33586/116968325?plId=2342293&plt=4,,,"Experience effortless contemporary living in the sought-after development within the prestigious Val de Vie Development, where security, lifestyle, and natural beauty converge to ...",,https://images.prop24.com/233856395/Ensure528x153,9500,114000,2.17,False,
sale,1 Bedroom Apartment,4200000,1,1,65 m²,Val de Vie Estate,Val de Vie Estate,Paarl,https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/117063889?plId=2374323&plt=6,,,"A lovely new, bright, and spacious open plan studio apartment located in the prestigious Polo Village Phase 2 within Val de Vie Estate. ...",,https://images.prop24.com/363879363/Ensure264x153,7000,84000,2.0,False,
sale,2 Bedroom House,1780000,2,1,200 m²,15 Bergpypie Street,Groenvlei,Paarl,https://www.property24.com/for-sale/groenvlei/paarl/western-cape/8601/116912041?plId=2370078&plt=4,,,"This quaint yet practical two-bedroom home is situated in De Oude Park Security Estate in Groenvlei, Paarl North, a small, established estate offering a quiet and secure lifestyle. ...",,https://images.prop24.com/233856395/Ensure528x153,9500,114000,6.4,False,
sale,3 Bedroom House,4095000,3,2,607 m²,549b Hoof Street,Paarl North,Paarl,https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/117065324,,,"Neat 608 m² plot with an automated gate, ideally located for a business
This is ...",,https://images.prop24.com/215059927/Ensure264x153,9500,114000,2.78,False,
sale,3 Bedroom House,1675000,3,2,280 m²,10 Gamay Close,Paarl East,Paarl,https://www.property24.com/for-sale/paarl-east/paarl/western-cape/16876/117019680,,,"Exclusively Marketed by Rawson Properties Paarl

Spacious Family Home with Great ...",,https://images.prop24.com/375681661/Crop600x400,9500,114000,6.81,False,
sale,3 Bedroom House,1095000,3,1,260 m²,29 Riverside Street,Paarl East,Paarl,https://www.property24.com/for-sale/paarl-east/paarl/western-cape/16876/116964215,,,"This is a 3 bedroom family home with 1 bathroom, separate lounge, kitchen and a single ...",,https://images.prop24.com/310646377/Ensure264x153,9500,114000,10.41,True,
sale,2 Bedroom Townhouse,1750000,2,2,112 m²,"Unit 6 Villa 4, Oude Chardonnay Estate, 6 Touriga Close",De Zoete Inval,Paarl,https://www.property24.com/for-sale/de-zoete-inval/paarl/western-cape/8596/116966690,,,"Situated in the sought-after Oude Chardonnay Estate, this neat own title home offers ...",,https://images.prop24.com/288036229/Ensure264x153,9500,114000,6.51,False,
sale,1 Bedroom Apartment,4450000,1,1,80 m²,Val de Vie Estate,Val de Vie Estate,Paarl,https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/117046107,,,"Exclusive Dual Mandate 

Set within the prestigious Val de Vie Estate, this elegant ground-floor studio apartment in Polo Village ...",,https://images.prop24.com/341773167/Ensure264x153,7000,84000,1.89,False,mandate
sale,3 Bedroom House,5995000,3,2,672 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/117030203,,,"Exclusive Sole Mandate - Wilde Paarde Estate

Set in a scenic location, with the Du Toits Kloof mountains as backdrop, this is a truly ...",,https://images.prop24.com/233852929/Ensure264x153,9500,114000,1.9,False,mandate
sale,2 Bedroom House,3000000,2,1,316 m²,Groenvlei,Groenvlei,Paarl,https://www.property24.com/for-sale/groenvlei/paarl/western-cape/8601/117053979,,,"Exclusively Marketed By Fouchee Properties

Discover comfort and convenience in this charming 2-bedroom home, perfectly situated in ...",,https://images.prop24.com/275940058/Ensure264x153,9500,114000,3.8,False,
sale,3 Bedroom House,3395000,3,2,690 m²,8 Merlot Street,Groenvlei,Paarl,https://www.property24.com/for-sale/groenvlei/paarl/western-cape/8601/116910770,,,"EXCLUSIVELY marketed by Meridian Realty
 
This three-bedroom, two-bathroom home in the ...",,https://images.prop24.com/322138770/Ensure264x153,9500,114000,3.36,False,
sale,2 Bedroom House,3707000,2,2,306 m²,Paarl North,Paarl North,Paarl,https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/117059196,,,This well-designed plot and plan turnkey home offers the perfect opportunity to own a brand-new property in the sought-after Honeydew ...,,https://images.prop24.com/322138770/Ensure264x153,9500,114000,3.08,False,
sale,2 Bedroom Apartment,1385000,2,1,60 m²,Bergkruine Street Bergendal Country Villas Apartment 1026,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/116954640,,,Discover a rare opportunity to own one of the most exclusive apartments in the highly ...,,https://images.prop24.com/329299895/Ensure264x153,9500,114000,8.23,True,
sale,3 Bedroom House,2950000,3,2,520 m²,7 Michael Street,Paarl North,Paarl,https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/116893566,,,"SOLE MANDATE

Are you looking for a home in a safe and popular area?  Then this ...",,https://images.prop24.com/275940058/Ensure264x153,9500,114000,3.86,False,mandate
sale,3 Bedroom House,2400000,3,2,597 m²,8 Burbank Street,Denneburg,Paarl,https://www.property24.com/for-sale/denneburg/paarl/western-cape/8597/116934796,,,Spacious living meets effortless indoor-outdoor lifestyle in this well positioned ...,,https://images.prop24.com/374135878/Crop600x400,9500,114000,4.75,False,
sale,3 Bedroom House,5500000,3,2,694 m²,26 Kleine Parys Estate,Kleine Parys 1,Paarl,https://www.property24.com/for-sale/kleine-parys-1/paarl/western-cape/25492/116890799,,,"Joint Mandate – Fouchee Properties

Welcome to this beautifully designed home in the ...",,https://images.prop24.com/373335138/Crop600x400,9500,114000,2.07,False,
sale,3 Bedroom House,4750000,3,2,600 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/117054082,,,"Looking for a home that’s brand-new, immaculate, and packed with extras? This property in a neat, secure estate is finished to a high ...",,https://images.prop24.com/255290839/Ensure264x153,9500,114000,2.4,False,
sale,3 Bedroom House,5500000,3,2,896 m²,Courtrai,Courtrai,Paarl,https://www.property24.com/for-sale/courtrai/paarl/western-cape/8594/116993757,,,"Nestled in a family-friendly neighborhood with easy access to national roads, this spacious 3-bedroom home offers the perfect blend of ...",,https://images.prop24.com/251717957/Ensure264x153,9500,114000,2.07,False,
sale,3 Bedroom House,2995000,3,2,204 m²,Carolina Road,Bergenzicht Estate,Paarl,https://www.property24.com/for-sale/bergenzicht-estate/paarl/western-cape/17466/117033438,,,"Modern 3-Bedroom Family Home in Secure Estate
Listed by Owner

This well-designed ...",,,9500,114000,3.81,False,
sale,3 Bedroom Apartment,1470000,3,2,80 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/114952114,,,"3 bedroom apartment with beautiful mountain views
Bergendal Country villas is a safe and secure complex with easy access to all the ...",,https://images.prop24.com/317418390/Ensure264x153,9500,114000,7.76,False,as-is
sale,3 Bedroom House,2750000,3,2,616 m²,Paarl Central,Paarl Central,Paarl,https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/116989118,,,"S O L E    M A N D A T E

We proudly present this neat as a pin family home in Paarl - close to the hospital and shops.
It is fitted ...",,https://images.prop24.com/275940058/Ensure264x153,9500,114000,4.15,False,
sale,3 Bedroom House,3700000,3,2,600 m²,Paarl North,Paarl North,Paarl,https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/117053986,,,This exclusive mandate presents a fantastic investment opportunity in a desirable location. Don`t miss your chance to own this ...,,https://images.prop24.com/322748437/Ensure264x153,9500,114000,3.08,False,
sale,3 Bedroom Apartment,1195000,3,1,76 m²,3 Keerweerder Road,Paarl East,Paarl,https://www.property24.com/for-sale/paarl-east/paarl/western-cape/16876/116890156,,,Presenting to you on a sole mandate Secure Family living in popular Amberg Estate in ...,,https://images.prop24.com/310646377/Ensure264x153,9500,114000,9.54,True,mandate
sale,2 Bedroom House,2600000,2,2,613 m²,3 Conradie Street,Charleston Hill,Paarl,https://www.property24.com/for-sale/charleston-hill/paarl/western-cape/8593/116992083,,,This spacious and well-maintained home offering comfort and great potential. The ...,,https://images.prop24.com/310646377/Ensure264x153,9500,114000,4.38,False,
sale,2 Bedroom Apartment,2695000,2,1,69 m²,"The Avenues, 11 Devine Street",Lane,Paarl,https://www.property24.com/for-sale/lane/paarl/western-cape/33256/116848902,,,"SOLE MANDATE
Situated in the heart of Paarl, this stylish duplex apartment offers the ...",,https://images.prop24.com/372584582/Crop600x400,9500,114000,4.23,False,mandate
sale,2 Bedroom House,2480000,2,2,175 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/117047901,,,"Bergenzicht Estate is a secure, family-friendly residential estate in Paarl, Western Cape. It is well located close to the N1, schools ...",,https://images.prop24.com/376216885/Crop600x400,9500,114000,4.6,False,
sale,2 Bedroom Apartment,9375000,2,2,155 m²,Pearl Valley Golf & Country Estate,Pearl Valley Golf & Country Estate,Paarl,https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/117047640,,,"Set against a backdrop of majestic mountain ranges and overlooking a vast expanse of water, the views from this resort-style lodge are ...",,https://images.prop24.com/233852929/Ensure264x153,9500,114000,1.22,False,
