Block,Hectares (ha),Expected Yield (t/ha),Our expected yield,Expected Total Yield (t),Our expected Yield (t) (1),Formula,Formula (1),Formula 1
KV 1,38.919,400,500,15567.6,19459.5,544866,681082.5,
KV By die Huis,13.05,300,450,3915,5872.5,137025,205537.5,
KV Nat boks,7.699,0,140,0,1077.86,0,37725.1,
KV Nat Sirkel,7.64,150,300,1146,2292,40110,80220,
KV Nat Tuis,7.3,150,250,1095,1825,38325,63875,
Kromvlei Hoek,15.687,350,450,5490.45,7059.15,192165.75,247070.25,
KromVlei hoek hoek,5.346,180,300,962.28,1603.8,33679.8,56133,
KV klein by wingerd,7.3,180,250,1314,1825,45990,63875,
Kromvlei voor wingerd,18.918,160,200,3026.88,3783.6,105940.8,132426,
Kromvlei Wingerd,14.318,0,0,0,0,0,0,
Kromvlei agter Wingerd,20.318,300,450,6095.4,9143.1,213339,320008.5,
