Block,Expected Total Yield (t),Expected Yield (t/ha),Formula,Formula (1),Formula 1,Hectares (ha),Our expected Yield (t) (1),Our expected yield
KV Nat Tuis,1095,150,38325,63875,,7.3,1825,250
KV 1,15567.6,400,544866,681082.5,,38.919,19459.5,500
KV By die Huis,3915,300,137025,205537.5,,13.05,5872.5,450
Kromvlei Hoek,5490.45,350,192165.75,247070.25,,15.687,7059.15,450
KV Nat boks,0,0,0,37725.1,,7.699,1077.86,140
KV Nat Sirkel,1146,150,40110,80220,,7.64,2292,300
KromVlei hoek hoek,962.28,180,33679.8,56133,,5.346,1603.8,300
Kromvlei Wingerd,0,0,0,0,,14.318,0,0
KV klein by wingerd,1314,180,45990,63875,,7.3,1825,250
Kromvlei agter Wingerd,6095.4,300,213339,320008.5,,20.318,9143.1,450
Kromvlei voor wingerd,3026.88,160,105940.8,132426,,18.918,3783.6,200
